장소 이름,검색위치,카테고리,세부 태그/설명,지역,구글 지도 링크,출처
古民家「禅」,古民家「禅」 일본 도쿄,숙박,전통 숙소,일본 도쿄,https://www.google.com/maps/search/?api=1&query=%E5%8F%A4%E6%B0%91%E5%AE%B6%E3%80%8C%E7%A6%85%E3%80%8D,여행 계획
무사시노 산토리 맥주공장,무사시노 산토리 맥주공장 일본 도쿄,식당 및 카페,맥주 브루어리,일본 도쿄,https://www.google.com/maps/search/?api=1&query=%EB%AC%B4%EC%82%AC%EC%8B%9C%EB%85%B8%20%EC%82%B0%ED%86%A0%EB%A6%AC%20%EB%A7%A5%EC%A3%BC%EA%B3%B5%EC%9E%A5,여행 계획
워너 브라더스 스튜디오 투어 도쿄 - 메이킹 오브 해리 포터,워너 브라더스 스튜디오 투어 도쿄 - 메이킹 오브 해리 포터 일본 도쿄,유적지 및 관광지,테마 명소,일본 도쿄,https://www.google.com/maps/search/?api=1&query=%EC%9B%8C%EB%84%88%20%EB%B8%8C%EB%9D%BC%EB%8D%94%EC%8A%A4%20%EC%8A%A4%ED%8A%9C%EB%94%94%EC%98%A4%20%ED%88%AC%EC%96%B4%20%EB%8F%84%EC%BF%84%20-%20%EB%A9%94%EC%9D%B4%ED%82%B9%20%EC%98%A4%EB%B8%8C%20%ED%95%B4%EB%A6%AC%20%ED%8F%AC%ED%84%B0,여행 계획
팀랩 플래닛 도쿄,팀랩 플래닛 도쿄 일본 도쿄,유적지 및 관광지,디지털 아트 전시관,일본 도쿄,https://www.google.com/maps/search/?api=1&query=%ED%8C%80%EB%9E%A9%20%ED%94%8C%EB%9E%98%EB%8B%9B%20%EB%8F%84%EC%BF%84,여행 계획
몬 다카나와 MoN Takanawa,몬 다카나와 MoN Takanawa 일본 도쿄,기타,"📍몬 다카나와 MoN Takanawa @montakanawa (3 Chome-16-1 Mita, Minato",일본 도쿄,https://www.google.com/maps/search/?api=1&query=%EB%AA%AC%20%EB%8B%A4%EC%B9%B4%EB%82%98%EC%99%80%20MoN%20Takanawa%20%EC%9D%BC%EB%B3%B8%20%EB%8F%84%EC%BF%84,https://www.instagram.com/reel/DclWVI5tvyo/?stkn=Z3JpbTFyejR6bTZq
메이지 신궁 뮤지엄 Meiji jingu museum,메이지 신궁 뮤지엄 Meiji jingu museum 일본 도쿄,유적지 및 관광지,"📍메이지 신궁 뮤지엄 Meiji jingu museum (1-1 Yoyogikamizonocho, Shibu",일본 도쿄,https://www.google.com/maps/search/?api=1&query=%EB%A9%94%EC%9D%B4%EC%A7%80%20%EC%8B%A0%EA%B6%81%20%EB%AE%A4%EC%A7%80%EC%97%84%20Meiji%20jingu%20museum%20%EC%9D%BC%EB%B3%B8%20%EB%8F%84%EC%BF%84,https://www.instagram.com/reel/DclWVI5tvyo/?stkn=Z3JpbTFyejR6bTZq
사푸 safu,사푸 safu 일본 도쿄,식당 및 카페,"📍사푸 safu @safu_cafe_dining (일본 〒105-0001 Tokyo, Minato City,",일본 도쿄,https://www.google.com/maps/search/?api=1&query=%EC%82%AC%ED%91%B8%20safu%20%EC%9D%BC%EB%B3%B8%20%EB%8F%84%EC%BF%84,https://www.instagram.com/reel/DclWVI5tvyo/?stkn=Z3JpbTFyejR6bTZq
호류지보물관 Gallery of Horyuji Treasures,호류지보물관 Gallery of Horyuji Treasures 일본 도쿄,유적지 및 관광지,"📍호류지보물관 Gallery of Horyuji Treasures (13-9 Uenokoen, Taito C",일본 도쿄,https://www.google.com/maps/search/?api=1&query=%ED%98%B8%EB%A5%98%EC%A7%80%EB%B3%B4%EB%AC%BC%EA%B4%80%20Gallery%20of%20Horyuji%20Treasures%20%EC%9D%BC%EB%B3%B8%20%EB%8F%84%EC%BF%84,https://www.instagram.com/reel/DclWVI5tvyo/?stkn=Z3JpbTFyejR6bTZq
국립신미술관 The National Art Center,국립신미술관 The National Art Center 일본 도쿄,유적지 및 관광지,📍국립신미술관 The National Art Center @thenationalartcentertokyo (,일본 도쿄,https://www.google.com/maps/search/?api=1&query=%EA%B5%AD%EB%A6%BD%EC%8B%A0%EB%AF%B8%EC%88%A0%EA%B4%80%20The%20National%20Art%20Center%20%EC%9D%BC%EB%B3%B8%20%EB%8F%84%EC%BF%84,https://www.instagram.com/reel/DclWVI5tvyo/?stkn=Z3JpbTFyejR6bTZq
룹스 LOOPS,룹스 LOOPS 일본 도쿄,기타,"📍룹스 LOOPS @loops_tgw (일본 〒108-0074 Tokyo, Minato City, Takan",일본 도쿄,https://www.google.com/maps/search/?api=1&query=%EB%A3%B9%EC%8A%A4%20LOOPS%20%EC%9D%BC%EB%B3%B8%20%EB%8F%84%EC%BF%84,https://www.instagram.com/reel/DclWVI5tvyo/?stkn=Z3JpbTFyejR6bTZq
도쿄국제포럼 Tokyo International Forum,도쿄국제포럼 Tokyo International Forum 일본 도쿄,유적지 및 관광지,"📍도쿄국제포럼 Tokyo International Forum (3 Chome-5-1 Marunouchi, C",일본 도쿄,https://www.google.com/maps/search/?api=1&query=%EB%8F%84%EC%BF%84%EA%B5%AD%EC%A0%9C%ED%8F%AC%EB%9F%BC%20Tokyo%20International%20Forum%20%EC%9D%BC%EB%B3%B8%20%EB%8F%84%EC%BF%84,https://www.instagram.com/reel/DclWVI5tvyo/?stkn=Z3JpbTFyejR6bTZq
아자부다이 힐즈 Azabudai hills,아자부다이 힐즈 Azabudai hills 일본 도쿄,기타,"📍아자부다이 힐즈 Azabudai hills (1 Chome-3-1 Azabudai, Minato City,",일본 도쿄,https://www.google.com/maps/search/?api=1&query=%EC%95%84%EC%9E%90%EB%B6%80%EB%8B%A4%EC%9D%B4%20%ED%9E%90%EC%A6%88%20Azabudai%20hills%20%EC%9D%BC%EB%B3%B8%20%EB%8F%84%EC%BF%84,https://www.instagram.com/reel/DclWVI5tvyo/?stkn=Z3JpbTFyejR6bTZq
도쿄국립박물관 Tokyo National Museum,도쿄국립박물관 Tokyo National Museum 일본 도쿄,유적지 및 관광지,📍도쿄국립박물관 Tokyo National Museum @tokyonationalmuseum (13-9 Ue,일본 도쿄,https://www.google.com/maps/search/?api=1&query=%EB%8F%84%EC%BF%84%EA%B5%AD%EB%A6%BD%EB%B0%95%EB%AC%BC%EA%B4%80%20Tokyo%20National%20Museum%20%EC%9D%BC%EB%B3%B8%20%EB%8F%84%EC%BF%84,https://www.instagram.com/reel/DclWVI5tvyo/?stkn=Z3JpbTFyejR6bTZq
국립서양미술관 National Museum of Western Art,국립서양미술관 National Museum of Western Art 일본 도쿄,유적지 및 관광지,📍국립서양미술관 National Museum of Western Art @nmwatokyo (7-7 Ueno,일본 도쿄,https://www.google.com/maps/search/?api=1&query=%EA%B5%AD%EB%A6%BD%EC%84%9C%EC%96%91%EB%AF%B8%EC%88%A0%EA%B4%80%20National%20Museum%20of%20Western%20Art%20%EC%9D%BC%EB%B3%B8%20%EB%8F%84%EC%BF%84,https://www.instagram.com/reel/DclWVI5tvyo/?stkn=Z3JpbTFyejR6bTZq
